t,yA,yT
0.0,1,1.0
0.001,1.0,0.999998000002
0.002,0.999996,0.999992000032
0.003,0.999988000032,0.999982000161999
0.004,0.9999760001759995,0.9999680005119945
0.005,0.9999600005599967,0.9999500012499791
0.006,0.9999400013599855,0.9999280025919378
0.007,0.9999160027999529,0.9999020048018431
0.008,0.9998880051518745,0.9998720081916505
0.009000000000000001,0.9998560087357096,0.9998380131212914
0.01,0.9998200139193951,0.9998000199986667
0.011,0.9997800211188383,0.9997580292796381
0.012,0.9997360307979091,0.999712041468019
0.013000000000000001,0.9996880434684308,0.9996620571155648
0.014,0.9996360596901704,0.9996080768219616
0.015,0.9995800800708278,0.9995501012348142
0.016,0.9995201052660235,0.9994881310496332
0.017,0.9994561359792865,0.9994221670098212
0.018000000000000002,0.99938817296204,0.9993522099066577
0.019,0.9993162170135867,0.9992782605792835
0.02,0.9992402689810937,0.9992003199146837
0.021,0.9991603297595752,0.9991183888476703
0.022,0.9990764002918755,0.9990324683608633
0.023,0.9989884815686498,0.998942559484671
0.024,0.9988965746283455,0.9988486632972694
0.025,0.9988006805571812,0.9987507809245809
0.026000000000000002,0.9987008004891255,0.9986489135402514
0.027,0.9985969356058746,0.9985430623656276
0.028,0.9984890871368292,0.9984332286697314
0.029,0.9983772563590698,0.9983194137692356
0.03,0.9982614445973321,0.9982016190284373
0.031,0.9981416532239804,0.9980798458592302
0.032,0.9980178836589806,0.997954095721077
0.033,0.9978901373698722,0.9978243701209799
0.034,0.9977584158717394,0.9976906706134507
0.035,0.9976227207271808,0.9975529988004797
0.036000000000000004,0.997483053546279,0.9974113563315034
0.037,0.9973394159865683,0.9972657449033718
0.038,0.9971918097530023,0.997116166260315
0.039,0.9970402365979198,0.9969626221939075
0.04,0.9968846983210106,0.9968051145430329
0.041,0.9967251967692792,0.9966436451938474
0.042,0.996561733837009,0.9964782160797415
0.043000000000000003,0.9963943114657243,0.9963088291813023
0.044,0.9962229316441522,0.996135486526273
0.045,0.9960475964081829,0.9959581901895135
0.046,0.9958683078408294,0.9957769422929579
0.047,0.9956850680721866,0.995591745005573
0.048,0.995497879279389,0.995402600543315
0.049,0.9953067436865674,0.9952095111690844
0.05,0.9951116635648047,0.9950124791926823
0.051000000000000004,0.9949126412320918,0.9948115069707631
0.052000000000000005,0.9947096790532804,0.9946065969067884
0.053,0.9945027794400374,0.9943977514509784
0.054,0.9942919448507961,0.9941849731002634
0.055,0.9940771777907084,0.9939682643982343
0.056,0.9938584808115944,0.9937476279350914
0.057,0.9936358565118927,0.9935230663475934
0.058,0.9934093075366079,0.9932945823190039
0.059000000000000004,0.9931788365772595,0.9930621785790393
0.06,0.9929444463718272,0.9928258579038134
0.061,0.992706139704698,0.9925856231157824
0.062,0.99246391940661,0.9923414770836891
0.063,0.9922177883545972,0.9920934227225052
0.064,0.9919677494719318,0.991841462993374
0.065,0.991713805728067,0.9915856009035505
0.066,0.9914559601385777,0.9913258395063428
0.067,0.9911942157651011,0.9910621819010502
0.068,0.990928575715276,0.9907946312329025
0.069,0.9906590431426815,0.9905231906929969
0.07,0.9903856212467741,0.9902478635182347
0.07100000000000001,0.990108313272825,0.9899686529912571
0.07200000000000001,0.9898271225118556,0.9896855624403801
0.073,0.9895420523005721,0.9893985952395277
0.074,0.9892531060213003,0.9891077548081656
0.075,0.9889602871019181,0.9888130446112331
0.076,0.9886635990157875,0.9885144681590741
0.077,0.9883630452816867,0.9882120290073675
0.078,0.98805862946374,0.9879057307570569
0.079,0.9877503551713473,0.9875955770542789
0.08,0.9874382260591132,0.9872815715902905
0.081,0.9871222458267743,0.9869637181013965
0.082,0.9868024182191264,0.9866420203688749
0.083,0.9864787470259505,0.9863164822189022
0.084,0.9861512360819379,0.9859871075224773
0.085,0.9858198892666143,0.9856539001953453
0.08600000000000001,0.9854847105042637,0.9853168641979191
0.08700000000000001,0.9851457037638502,0.9849760035352019
0.088,0.9848028730589404,0.9846313222567069
0.089,0.9844562224476237,0.984282824456378
0.09,0.9841057560324323,0.9839305142725083
0.091,0.9837514779602606,0.9835743958876583
0.092,0.9833933924222831,0.9832144735285729
0.093,0.9830315036538717,0.9828507514660983
0.094,0.9826658159345125,0.9824832340150973
0.095,0.9822963335877212,0.9821119255343637
0.096,0.9819230609809578,0.9817368304265364
0.097,0.9815460025255411,0.9813579531380127
0.098,0.9811651626765612,0.98097529815886
0.099,0.980780545932792,0.9805888700227271
0.1,0.9803921568366025,0.9801986733067553
0.101,0.9799999999738679,0.9798047126314872
0.10200000000000001,0.9796040799738784,0.979406992660776
0.10300000000000001,0.9792044015092491,0.9790055181016938
0.10400000000000001,0.9788009692958274,0.9786002937044377
0.105,0.9783937880926004,0.9781913242622374
0.106,0.9779828627016015,0.9777786146112598
0.107,0.977568197967816,0.9773621696305143
0.108,0.9771497987790858,0.9769419942417559
0.109,0.9767276700660132,0.9765180934093893
0.11,0.9763018168018645,0.9760904721403703
0.111,0.9758722440024716,0.9756591354841075
0.112,0.9754389567261346,0.9752240885323634
0.113,0.9750019600735212,0.9747853364191532
0.114,0.974561259187568,0.974342884320645
0.115,0.9741168592533784,0.9738967374550571
0.116,0.9736687654981219,0.9734469010825562
0.117,0.9732169831909308,0.9729933805051534
0.11800000000000001,0.9727615176427974,0.9725361810666002
0.11900000000000001,0.97230237420647,0.9720753081522843
0.12,0.9718395582763477,0.9716107671891228
0.121,0.971373075288375,0.9711425636454561
0.122,0.9709029307199355,0.9706707030309414
0.123,0.9704291300897442,0.9701951908964435
0.124,0.96995167895774,0.9697160328339264
0.125,0.969470582924977,0.9692332344763441
0.126,0.9689858476335145,0.9687468014975299
0.127,0.9684974787663072,0.9682567396120852
0.128,0.9680054820470939,0.9677630545752681
0.129,0.9675098632402858,0.96726575218288
0.13,0.9670106281508538,0.9667648382711531
0.131,0.9665077826242153,0.9662603187166354
0.132,0.9660013325461202,0.9657521994360766
0.133,0.9654912838425358,0.965240486386312
0.134,0.9649776424795315,0.9647251855641463
0.135,0.9644604144631626,0.9642063030062366
0.136,0.9639396058393525,0.963683844788974
0.137,0.9634152226937759,0.9631578170283659
0.138,0.9628872711517397,0.9626282258799163
0.139,0.9623557573780639,0.9620950775385053
0.14,0.9618206875769617,0.9615583782382694
0.14100000000000001,0.9612820679919186,0.9610181342524788
0.14200000000000002,0.9607399049055712,0.9604743518934166
0.14300000000000002,0.9601942046395848,0.9599270375122545
0.14400000000000002,0.9596449735545309,0.9593761974989303
0.145,0.9590922180497635,0.9588218382820232
0.146,0.9585359445632946,0.9582639663286285
0.147,0.9579761595716696,0.9577025881442326
0.148,0.9574128695898414,0.9571377102725858
0.149,0.9568460811710442,0.9565693392955759
0.15,0.9562758009066663,0.9559974818331
0.151,0.9557020354261223,0.9554221445429361
0.152,0.9551247913967249,0.9548433341206144
0.153,0.9545440755235557,0.9542610572992868
0.154,0.9539598945493353,0.9536753208495967
0.155,0.9533722552542929,0.9530861315795482
0.156,0.9527811644560352,0.9524934963343737
0.157,0.9521866290094146,0.9518974219964018
0.158,0.9515886558063967,0.9512979154849239
0.159,0.9509872517759271,0.9506949837560605
0.16,0.9503824238837977,0.9500886338026269
0.161,0.949774179132512,0.9494788726539978
0.162,0.9491625245611507,0.9488657073759718
0.163,0.9485474672452351,0.9482491450706347
0.164,0.9479290142965912,0.947629192876223
0.165,0.9473071728632126,0.9470058579669858
0.166,0.9466819501291229,0.9463791475530463
0.167,0.9460533533142372,0.9457490688802636
0.168,0.9454213896742233,0.9451156292300925
0.169,0.9447860665003622,0.9444788359194438
0.17,0.944147391119408,0.9438386963005431
0.171,0.9435053708934469,0.9431952177607896
0.17200000000000001,0.9428600132197558,0.9425484077226143
0.17300000000000001,0.9422113255306606,0.9418982736433371
0.17400000000000002,0.9415593152933933,0.9412448230150238
0.17500000000000002,0.9409039900099491,0.9405880633643421
0.176,0.9402453572169421,0.9399280022524173
0.177,0.9395834244854614,0.9392646472746876
0.178,0.9389181994209257,0.9385980060607579
0.179,0.938249689662938,0.9379280862742546
0.18,0.9375779028851393,0.9372548956126777
0.181,0.936902846795062,0.9365784418072545
0.182,0.9362245291339824,0.9358987326227912
0.183,0.9355429576767729,0.9352157758575249
0.184,0.9348581402317535,0.934529579342974
0.185,0.934170084640543,0.9338401509437892
0.186,0.933478798777909,0.9331474985576034
0.187,0.9327842905516182,0.9324516301148803
0.188,0.9320865679022855,0.9317525535787644
0.189,0.931385638803223,0.9310502769449283
0.19,0.9306815112602878,0.9303448082414207
0.191,0.9299741933117299,0.929636155528514
0.192,0.9292636930280398,0.9289243268985502
0.193,0.9285500185117943,0.9282093304757879
0.194,0.9278331778975032,0.9274911744162472
0.195,0.9271131793514548,0.9267698669075553
0.196,0.9263900310715606,0.9260454161687907
0.197,0.9256637412872005,0.9253178304503276
0.198,0.9249343182590662,0.9245871180336795
0.199,0.9242017702790051,0.9238532872313421
0.2,0.923466105669863,0.9231163463866358
0.201,0.922727332785327,0.922376303873548
0.202,0.9219854600097677,0.9216331680965747
0.203,0.9212404957580798,0.9208869474905614
0.20400000000000001,0.9204924484755242,0.9201376505205444
0.20500000000000002,0.9197413266375682,0.9193852856815898
0.20600000000000002,0.9189871387497255,0.9186298614986345
0.20700000000000002,0.9182298933473957,0.9178713865263243
0.20800000000000002,0.917469598995704,0.9171098693488534
0.209,0.9167062642893395,0.9163453185798028
0.21,0.9159398978523936,0.9155777428619776
0.211,0.9151705083381976,0.9148071508672444
0.212,0.9143981044291601,0.914033551296369
0.213,0.9136226948366042,0.9132569528788522
0.214,0.9128442883006034,0.9124773643727663
0.215,0.9120628935898181,0.9116947945645905
0.216,0.9112785195013309,0.9109092522690462
0.217,0.9104911748604817,0.910120746328932
0.218,0.9097008685207028,0.9093292856149578
0.219,0.9089076093633527,0.908534879025579
0.22,0.9081114062975504,0.9077375354868296
0.221,0.9073122682600085,0.9069372639521561
